
"Pre-1950 Homes", ,
 ,Number,,Percent,,
Hunts Point - Mott Haven,25.7,19.1,18.1,30.8,,
Greenpoint,4.8,9.9,9.8,11.4,,
Downtown - Heights - Slope,14.6,14.7,19.2,14.1,,
Bedford Stuyvesant - Crown Heights,24.7,24.9,29.7,24.6,,
East New York,16.6,15.6,15.8,23,,
Sunset Park,10.1,9.8,7,14.4,,
Borough Park,12.9,15.1,13.4,14.8,,
East Flatbush - Flatbush,19.7,23.6,24,29.2,,
Canarsie - Flatlands,7,8.2,8.2,13.2,,
Bensonhurst - Bay Ridge,5.6,6.8,7.5,9.8,,
Coney Island - Sheepshead Bay,6.3,7.9,5.2,9.2,,
Williamsburg - Bushwick,18.8,17.3,21.1,20.7,,
Washington Heights,19.5,33.3,23.6,26.4,,
Central Harlem - Morningside Heights,26.4,21.5,12,28.4,,
East Harlem,16.2,22,18.4,31.3,,
Upper West Side,10.6,12,8.3,12.3,,
Upper East Side,7.6,7.4,6.6,5.9,,
Chelsea - Clinton,11.7,13.2,10.5,9.7,,
Gramercy Park - Murray Hill,8.1,6.4,3.6,7.1,,
Greenwich Village - SoHo,12.4,18,9.6,6.1,,
Union Square - Lower East Side,18,18.6,21,13.4,,
Lower Manhattan,13.1,18.3,10.9,6.9,,
Long Island City - Astoria,6.3,7.7,11.8,12.8,,
West Queens,8.2,8.6,10.3,12.5,,
Flushing - Clearview,4.6,5.8,9,3.5,,
Bayside - Little Neck,3.1,2.7,4.4,2.1,,
Ridgewood - Forest Hills,4.9,7.3,4.7,8.9,,
Fresh Meadows,6.8,7.2,8.7,5.6,,
Southwest Queens,4.2,4.8,5.8,7.2,,
Jamaica,5.2,8.4,5.5,10.7,,
Southeast Queens,3.1,4.7,6.6,7.3,,
Rockaways,5.8,9.5,5.6,11.1,,
Port Richmond,9.3,8.4,8.2,6.4,,
Stapleton - St. George,6.7,7.1,5.9,5.3,,
Willowbrook,4.2,5.8,3.7,4.2,,
South Beach - Tottenville,0.3,1.8,0.7,1.2,,

"Adults Reporting Mold in the Home", ,
 ,Percent,,
Row Labels,2012,,
UHF42,
Kingsbridge - Riverdale,8.4,,
Northeast Bronx,8.9,,
Fordham - Bronx Pk,18.7,,
Pelham - Throgs Neck,14.4,,
Crotona -Tremont,11.8,,
High Bridge - Morrisania,11.8,,
Hunts Point - Mott Haven,11.8,,
Greenpoint,16,,
Downtown - Heights - Slope,7.6,,
Bedford Stuyvesant - Crown Heights,9.4,,
East New York,10.9,,
Sunset Park,7.6,,
Borough Park,10.4,,
East Flatbush - Flatbush,11.8,,
Canarsie - Flatlands,8.2,,
Bensonhurst - Bay Ridge,13,,
Coney Island - Sheepshead Bay,10,,
Williamsburg - Bushwick,12.2,,
Washington Heights,17.2,,
Central Harlem - Morningside Heights,9.1,,
East Harlem,7,,
Upper West Side,6.9,,
Upper East Side,5.8,,
Chelsea - Clinton,3.5,,
Gramercy Park - Murray Hill,5.8,,
Greenwich Village - SoHo,3.5,,
Union Square - Lower East Side,6,,
Lower Manhattan,6,,
Long Island City - Astoria,6.9,,
West Queens,10.8,,
Flushing - Clearview,5.4,,
Bayside - Little Neck,,,
Ridgewood - Forest Hills,7.1,,
Fresh Meadows,,,
Southwest Queens,8.6,,
Jamaica,11.6,,
Southeast Queens,8.9,,
Rockaways,13.9,,
Port Richmond,9.5,,
Stapleton - St. George,9.5,,
Willowbrook,3,,
South Beach - Tottenville,3,,
